Etichetta,stato,solo_prefisso,Stato,prefisso - Stato,prefisso_zeri,prefisso_nozeri,Stato2,,Stato,Prefisso
Lettonia +371,Lettonia,371,Lettonia,290 - Saint Elena,290,290,Saint Elena,,Iraq,964
Lesotho +266,Lesotho,266,Lesotho,291 - Eritrea,291,291,Eritrea,,Irlanda,353
Laos +856,Laos,856,Laos,297 - Aruba,297,297,Aruba,,Islanda,354
Kuwait +965,Kuwait,965,Kuwait,298 - Isole Fær Oer,298,298,Isole Fær Oer,,Isole Cayman, +1 345
Kiribati +686,Kiribati,686,Kiribati,299 - Groenlandia,299,299,Groenlandia,,Isole Fær Oer,298
Kirghizstan +996,Kirghizstan,996,Kirghizstan,350 - Gibilterra,350,350,Gibilterra,,Isole Falkland,500
Kenia +254,Kenia,254,Kenia,351 - Portogallo,351,351,Portogallo,,Isole Marianne,670
Kazakistan +996,Kazakistan,996,Kazakistan,352 - Lussemburgo,352,352,Lussemburgo,,Isole Marshall,692
Italia +39,Italia,39,Italia,353 - Irlanda,353,353,Irlanda,,Isole Norfolk,672
Israele +972,Israele,972,Israele,354 - Islanda,354,354,Islanda,,Isole Salomone,677
Isole Vergini (U.S.) +1 340,Isole Vergini (U.S.),1340,Isole Vergini (U.S.),355 - Albania,355,355,Albania,,Isole Vergini (GBR), +1 284
Isole Vergini (GBR) +1 284,Isole Vergini (GBR),1284,Isole Vergini (GBR),356 - Malta,356,356,Malta,,Isole Vergini (U.S.), +1 340
Isole Salomone +677,Isole Salomone,677,Isole Salomone,357 - Cipro,357,357,Cipro,,Israele,972
Isole Norfolk +672,Isole Norfolk,672,Isole Norfolk,358 - Finlandia,358,358,Finlandia,,Italia,39
Isole Marshall +692,Isole Marshall,692,Isole Marshall,359 - Bulgaria,359,359,Bulgaria,,Kazakistan,996
Isole Marianne +670,Isole Marianne,670,Isole Marianne,370 - Lituania,370,370,Lituania,,Kenia,254
Isole Fær Oer +298,Isole Fær Oer,298,Isole Fær Oer,371 - Lettonia,371,371,Lettonia,,Kirghizstan,996
Isole Falkland +500,Isole Falkland,500,Isole Falkland,372 - Estonia,372,372,Estonia,,Kiribati,686
Isole Cayman +1 345,Isole Cayman,1345,Isole Cayman,373 - Moldavia,373,373,Moldavia,,Kuwait,965
Islanda +354,Islanda,354,Islanda,374 - Armenia,374,374,Armenia,,Laos,856
Irlanda +353,Irlanda,353,Irlanda,375 - Bielorussia,375,375,Bielorussia,,Lesotho,266
Iraq +964,Iraq,964,Iraq,376 - Andorra,376,376,Andorra,,Lettonia,371
Iran +98,Iran,98,Iran,377 - Monaco (Principato di),377,377,Monaco (Principato di),,Libano,961
Indonesia +62,Indonesia,62,Indonesia,380 - Ucraina,380,380,Ucraina,,Liberia,231
India +91,India,91,India,381 - Yugoslavia,381,381,Yugoslavia,,Libia,218
Hong Kong +852,Hong Kong,852,Hong Kong,385 - Croazia,385,385,Croazia,,Liechtenstein,423
Honduras +504,Honduras,504,Honduras,386 - Slovenia,386,386,Slovenia,,Lituania,370
Haiti +509,Haiti,509,Haiti,387 - Bosnia Erzegovina,387,387,Bosnia Erzegovina,,Lussemburgo,352
Guyana Francese +594,Guyana Francese,594,Guyana Francese,389 - Macedonia,389,389,Macedonia,,Macao,853
Guyana +592,Guyana,592,Guyana,420 - Rep. Ceca,420,420,Rep. Ceca,,Macedonia,389
Guinea Ecuatoriale +240,Guinea Ecuatoriale,240,Guinea Ecuatoriale,421 - Slovacchia,421,421,Slovacchia,,Madagascar,261
Guinea Bissau +245,Guinea Bissau,245,Guinea Bissau,423 - Liechtenstein,423,423,Liechtenstein,,Malawi,265
Guinea +224,Guinea,224,Guinea,500 - Isole Falkland,500,500,Isole Falkland,,Maldive,960
Guatemala +502,Guatemala,502,Guatemala,501 - Belize,501,501,Belize,,Malesia,60
Guam +671,Guam,671,Guam,502 - Guatemala,502,502,Guatemala,,Mali,223
Guadalupa +590,Guadalupa,590,Guadalupa,503 - El Salvador,503,503,El Salvador,,Malta,356
Groenlandia +299,Groenlandia,299,Groenlandia,504 - Honduras,504,504,Honduras,,Marocco,212
Grenada +1 473,Grenada,1473,Grenada,505 - Nicaragua,505,505,Nicaragua,,Martinica,596
Grecia +30,Grecia,30,Grecia,506 - Costarica,506,506,Costarica,,Mauritania,222
Gran Bretagna +44,Gran Bretagna,44,Gran Bretagna,507 - Panama,507,507,Panama,,Mauritius,230
Giordania +962,Giordania,962,Giordania,508 - Saint Pierre e Miquelon,508,508,Saint Pierre e Miquelon,,Messico,52
Gibuti +253,Gibuti,253,Gibuti,509 - Haiti,509,509,Haiti,,Moldavia,373
Gibilterra +350,Gibilterra,350,Gibilterra,590 - Guadalupa,590,590,Guadalupa,,Monaco (Principato di),377
Giappone +81,Giappone,81,Giappone,591 - Bolivia,591,591,Bolivia,,Mongolia,976
Giamaica +1 876,Giamaica,1876,Giamaica,592 - Guyana,592,592,Guyana,,Montserrat, +1 664
Ghana +233,Ghana,233,Ghana,593 - Ecuador,593,593,Ecuador,,Mozambico,258
Germania +49,Germania,49,Germania,594 - Guyana Francese,594,594,Guyana Francese,,Namibia,264
Georgia +995,Georgia,995,Georgia,595 - Paraguay,595,595,Paraguay,,Nepal,977
Gambia +220,Gambia,220,Gambia,596 - Martinica,596,596,Martinica,,Nicaragua,505
Gabon +241,Gabon,241,Gabon,598 - Uruguay,598,598,Uruguay,,Nigeria,234
Francia +33,Francia,33,Francia,599 - Antille Olandesi,599,599,Antille Olandesi,,Niue,683
Finlandia +358,Finlandia,358,Finlandia,670 - Isole Marianne,670,670,Isole Marianne,,Norvegia,47
Filippine +63,Filippine,63,Filippine,671 - Guam,671,671,Guam,,Nuova Caledonia,687
Figi +679,Figi,679,Figi,672 - Isole Norfolk,672,672,Isole Norfolk,,Nuova Zelanda,64
Federazione Russa +7,Federazione Russa,7,Federazione Russa,673 - Brunei,673,673,Brunei,,Oman,968
Etiopia +251,Etiopia,251,Etiopia,675 - Papua Nuova Guinea,675,675,Papua Nuova Guinea,,Paesi Bassi (Olanda),31
Estonia +372,Estonia,372,Estonia,676 - Tonga,676,676,Tonga,,Pakistan,92
Eritrea +291,Eritrea,291,Eritrea,677 - Isole Salomone,677,677,Isole Salomone,,Palau,680
Emirati Arabi Uniti +971,Emirati Arabi Uniti,971,Emirati Arabi Uniti,678 - Vanuato,678,678,Vanuato,,Panama,507
El Salvador +503,El Salvador,503,El Salvador,679 - Figi,679,679,Figi,,Papua Nuova Guinea,675
Egitto +20,Egitto,20,Egitto,680 - Palau,680,680,Palau,,Paraguay,595
Ecuador +593,Ecuador,593,Ecuador,681 - Wallis e Futuna,681,681,Wallis e Futuna,,Perù,51
Dominica +1 767,Dominica,1767,Dominica,682 - Cook,682,682,Cook,,Polinesia Francese,689
Diego Garcia +246,Diego Garcia,246,Diego Garcia,683 - Niue,683,683,Niue,,Polonia,48
Danimarca +45,Danimarca,45,Danimarca,684 - Samoa Americane,684,684,Samoa Americane,,Porto Rico, +1 787
Cuba +53,Cuba,53,Cuba,685 - Samoa Occidentale,685,685,Samoa Occidentale,,Portogallo,351
Croazia +385,Croazia,385,Croazia,686 - Kiribati,686,686,Kiribati,,Qatar,974
Costarica +506,Costarica,506,Costarica,687 - Nuova Caledonia,687,687,Nuova Caledonia,,Rep. Ceca,420
Costa d’Avorio +225,Costa d’Avorio,225,Costa d’Avorio,688 - Tuvalu,688,688,Tuvalu,,Rep. Centrafrica,236
Corea del Sud +82,Corea del Sud,82,Corea del Sud,689 - Polinesia Francese,689,689,Polinesia Francese,,Rep. Democratica del Congo,243
Corea del Nord +850,Corea del Nord,850,Corea del Nord,692 - Isole Marshall,692,692,Isole Marshall,,Rep. Dominicana,1
Cook +682,Cook,682,Cook,737 - Tajikistan,737,737,Tajikistan,,Reunion (Francia),262
Congo +242,Congo,242,Congo,850 - Corea del Nord,850,850,Corea del Nord,,Romania,40
Comore +269,Comore,269,Comore,852 - Hong Kong,852,852,Hong Kong,,Ruanda,250
Colombia +57,Colombia,57,Colombia,853 - Macao,853,853,Macao,,Saint Elena,290
Cipro +357,Cipro,357,Cipro,855 - Cambogia,855,855,Cambogia,,Saint Kitts e Nevis, +1 869
Cina +86,Cina,86,Cina,856 - Laos,856,856,Laos,,Saint Pierre e Miquelon,508
Cile +56,Cile,56,Cile,880 - Bangladesh,880,880,Bangladesh,,Saint Vincent, +1 784
Ciad +235,Ciad,235,Ciad,886 - Taiwan,886,886,Taiwan,,Samoa Americane,684
Capo Verde +238,Capo Verde,238,Capo Verde,960 - Maldive,960,960,Maldive,,Samoa Occidentale,685
Canada +1,Canada,1,Canada,961 - Libano,961,961,Libano,,Santa Lucia, +1 758
Camerun +237,Camerun,237,Camerun,962 - Giordania,962,962,Giordania,,Sao Tomè e Principe,239
Cambogia +855,Cambogia,855,Cambogia,963 - Siria,963,963,Siria,,Senegal,221
Burundi +257,Burundi,257,Burundi,964 - Iraq,964,964,Iraq,,Seychelles,248
Burkina Faso +226,Burkina Faso,226,Burkina Faso,965 - Kuwait,965,965,Kuwait,,Sierra Leone,232
Bulgaria +359,Bulgaria,359,Bulgaria,966 - Arabia Saudita,966,966,Arabia Saudita,,Singapore,65
Brunei +673,Brunei,673,Brunei,967 - Yemen,967,967,Yemen,,Siria,963
Brasile +55,Brasile,55,Brasile,968 - Oman,968,968,Oman,,Slovacchia,421
Botswana +267,Botswana,267,Botswana,971 - Emirati Arabi Uniti,971,971,Emirati Arabi Uniti,,Slovenia,386
Bosnia Erzegovina +387,Bosnia Erzegovina,387,Bosnia Erzegovina,972 - Israele,972,972,Israele,,Somalia,252
Bolivia +591,Bolivia,591,Bolivia,973 - Bahrein,973,973,Bahrein,,Spagna,34
Bielorussia +375,Bielorussia,375,Bielorussia,974 - Qatar,974,974,Qatar,,Sri Lanka,94
Bhutan +975,Bhutan,975,Bhutan,975 - Bhutan,975,975,Bhutan,,Sudafrica,27
Bermuda +1 441,Bermuda,1441,Bermuda,976 - Mongolia,976,976,Mongolia,,Sudan,249
Benin +229,Benin,229,Benin,977 - Nepal,977,977,Nepal,,Svezia,46
Belize +501,Belize,501,Belize,993 - Turkmenistan,993,993,Turkmenistan,,Svizzera,41
Belgio +32,Belgio,32,Belgio,994 - Azerbaigian,994,994,Azerbaigian,,Swaziland,268
Barbados +1 246,Barbados,1246,Barbados,995 - Georgia,995,995,Georgia,,Taiwan,886
Bangladesh +880,Bangladesh,880,Bangladesh,996 - Kazakistan,996,996,Kazakistan,,Tajikistan,737
Bahrein +973,Bahrein,973,Bahrein,996 - Kirghizstan,996,996,Kirghizstan,,Tanzania,255
Bahamas +1 242,Bahamas,1242,Bahamas,998 - Uzbekistan,998,998,Uzbekistan,,Thailandia,66
Azerbaigian +994,Azerbaigian,994,Azerbaigian,1242 - Bahamas,1242,1242,Bahamas,,Togo,228
Austria +43,Austria,43,Austria,1246 - Barbados,1246,1246,Barbados,,Tonga,676
Australia Antartic +67210-1-2,Australia Antartic,67210,Australia Antartic,1264 - Anguilla,1264,1264,Anguilla,,Trinidad e Tobago, +1 868
Australia +61,Australia,61,Australia,1268 - Antigua e Barbuda,1268,1268,Antigua e Barbuda,,Tunisia,216
Ascensione +247,Ascensione,247,Ascensione,1284 - Isole Vergini (GBR),1284,1284,Isole Vergini (GBR),,Turchia,90
Aruba +297,Aruba,297,Aruba,1340 - Isole Vergini (U.S.),1340,1340,Isole Vergini (U.S.),,Turkmenistan,993
Armenia +374,Armenia,374,Armenia,1345 - Isole Cayman,1345,1345,Isole Cayman,,Turks e Caicos, +1 649
Argentina +54,Argentina,54,Argentina,1441 - Bermuda,1441,1441,Bermuda,,Tuvalu,688
Arabia Saudita +966,Arabia Saudita,966,Arabia Saudita,1473 - Grenada,1473,1473,Grenada,,Ucraina,380
Antille Olandesi +599,Antille Olandesi,599,Antille Olandesi,1649 - Turks e Caicos,1649,1649,Turks e Caicos,,Uganda,256
Antigua e Barbuda +1 268,Antigua e Barbuda,1268,Antigua e Barbuda,1664 - Montserrat,1664,1664,Montserrat,,Ungheria,36
Anguilla +1 264,Anguilla,1264,Anguilla,1758 - Santa Lucia,1758,1758,Santa Lucia,,Uruguay,598
Angola +244,Angola,244,Angola,1767 - Dominica,1767,1767,Dominica,,USA,1
Andorra +376,Andorra,376,Andorra,1784 - Saint Vincent,1784,1784,Saint Vincent,,Uzbekistan,998
Algeria +213,Algeria,213,Algeria,1787 - Porto Rico,1787,1787,Porto Rico,,Vanuato,678
Albania +355,Albania,355,Albania,1868 - Trinidad e Tobago,1868,1868,Trinidad e Tobago,,Venezuela,58
Alaska +1,Alaska,1,Alaska,1869 - Saint Kitts e Nevis,1869,1869,Saint Kitts e Nevis,,Vietnam,84
Afghanistan +93,Afghanistan,93,Afghanistan,1876 - Giamaica,1876,1876,Giamaica,,Wallis e Futuna,681
Yemen +967,Yemen,967,Yemen,967 - Yemen,967,967,Yemen,,Yemen,967
Yugoslavia +381,Yugoslavia,381,Yugoslavia,381 - Yugoslavia,381,381,Yugoslavia,,Yugoslavia,381
Zambia +260,Zambia,260,Zambia,260 - Zambia,260,260,Zambia,,Zambia,260
Zimbabwe +263,Zimbabwe,263,Zimbabwe,263 - Zimbabwe,263,263,Zimbabwe,,Zimbabwe,263
